,question,difficulty,code,num_lines,num_parameters,num_loops,sample_input,expected_output,actual_output,execution_time_ms,model
69,Determine if a number is an Armstrong number.,Medium,"def is_armstrong(n):
    return n == sum(int(d)**len(str(n)) for d in str(n))
result = is_armstrong(153)",3,7.0,1,153,True,True,0.0486669887322932,gpt-4o
70,Write a function that returns all subsets of a set.,Medium,"from itertools import chain, combinations
def all_subsets(s):
    return list(chain.from_iterable(combinations(s, r) for r in range(len(s)+1)))
result = all_subsets([1, 2])",4,7.0,1,"[1, 2]","[( ), (1,), (2,), (1, 2)]",name 'chain' is not defined,0.064833991928026,gpt-4o
71,Find the intersection of two lists.,Medium,"result = list(set([1,2,3]) & set([2,3,4]))",1,3.0,0,"([1, 2, 3], [2, 3, 4])","[2, 3]","[2, 3]",0.031166011467576,gpt-4o
72,Generate Pascal’s Triangle up to n rows.,Medium,"def pascals_triangle(n):
    triangle = []
    for i in range(n):
        row = [1]*(i+1)
        for j in range(1, i):
            row[j] = triangle[i-1][j-1] + triangle[i-1][j]
        triangle.append(row)
    return triangle
result = pascals_triangle(4)",9,6.0,2,4,"[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1]]","[[1], [1, 1], [1, 2, 1], [1, 3, 3, 1]]",0.0737500085961073,gpt-4o
73,Implement a simple contact book using a dictionary with names and phone numbers.,Medium,"contacts = {'Alice': '123', 'Bob': '456'}
contacts['Charlie'] = '789'
result = contacts",3,0.0,0,,"{'Alice': '123', 'Bob': '456', 'Charlie': '789'}","{'Alice': '123', 'Bob': '456', 'Charlie': '789'}",0.0316250079777091,gpt-4o
74,Write a function that finds the longest word in a given sentence.,Medium,"def longest_word(sentence):
    words = sentence.split()
    return max(words, key=len)
result = longest_word('Find the longest word here')",4,4.0,0,Find the longest word here,longest,longest,0.0368340115528553,gpt-4o
75,Write a function to check if a number is a palindrome without converting it to a string.,Medium,"def is_palindrome_number(x):
    if x < 0: return False
    original, reverse = x, 0
    while x:
        reverse = reverse * 10 + x % 10
        x //= 10
    return original == reverse
result = is_palindrome_number(121)",8,2.0,1,121,True,True,0.0489579979330301,gpt-4o
76,Implement the merge sort algorithm.,Medium,"def merge_sort(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    merged = []
    while left and right:
        merged.append(left.pop(0) if left[0] < right[0] else right.pop(0))
    merged.extend(left + right)
    return merged
result = merge_sort([5, 2, 4, 1, 3])",12,10.0,1,"[5, 2, 4, 1, 3]","[1, 2, 3, 4, 5]",name 'merge_sort' is not defined,0.1036249741446226,gpt-4o
77,Write a function that calculates the nth triangular number.,Medium,"def triangular_number(n):
    return n * (n + 1) // 2
result = triangular_number(5)",3,3.0,0,5,15,15,0.0249580189120024,gpt-4o
78,Find the longest common prefix in a list of strings.,Medium,"def longest_common_prefix(strs):
    if not strs: return ''
    prefix = strs[0]
    for s in strs[1:]:
        while not s.startswith(prefix):
            prefix = prefix[:-1]
    return prefix
result = longest_common_prefix(['flower', 'flow', 'flight'])",8,3.0,2,"['flower', 'flow', 'flight']",fl,fl,0.0624579843133688,gpt-4o
79,Check if a given Sudoku board is valid.,Medium,"def is_valid_sudoku(board):
    seen = set()
    for i in range(9):
        for j in range(9):
            num = board[i][j]
            if num != '.':
                if (num, i) in seen or (j, num) in seen or (i//3, j//3, num) in seen:
                    return False
                seen |= {(num, i), (j, num), (i//3, j//3, num)}
    return True
result = is_valid_sudoku([
    ['5','3','.','.','7','.','.','.','.'],
    ['6','.','.','1','9','5','.','.','.'],
    ['.','9','8','.','.','.','.','6','.'],
    ['8','.','.','.','6','.','.','.','3'],
    ['4','.','.','8','.','3','.','.','1'],
    ['7','.','.','.','2','.','.','.','6'],
    ['.','6','.','.','.','.','2','8','.'],
    ['.','.','.','4','1','9','.','.','5'],
    ['.','.','.','.','8','.','.','7','9']])",20,11.0,2,sudoku board,True,True,0.2235830179415643,gpt-4o
80,"Implement a simple calculator that evaluates expressions with +, -, *, and /.",Medium,"def calculator(expr):
    return eval(expr)
result = calculator('2+3*4-5')",3,3.0,0,2+3*4-5,9,9,0.0289169838652014,gpt-4o
81,"Given a list of numbers, find all unique pairs that sum to a specific target.",Medium,"def find_pairs(lst, target):
    seen = set()
    pairs = set()
    for num in lst:
        diff = target - num
        if diff in seen:
            pairs.add(tuple(sorted((num, diff))))
        seen.add(num)
    return list(pairs)
result = find_pairs([1, 2, 3, 4, 5], 6)",10,10.0,1,"([1, 2, 3, 4, 5], 6)","[(1, 5), (2, 4)]","[(2, 4), (1, 5)]",0.0734170025680214,gpt-4o
82,Write a function to compute the digital root of a number.,Medium,"def digital_root(n):
    while n >= 10:
        n = sum(int(d) for d in str(n))
    return n
result = digital_root(942)",5,5.0,2,942,6,6,0.0431669759564101,gpt-4o
83,Implement a basic LRU (Least Recently Used) cache.,Medium,"from collections import OrderedDict
class LRUCache:
    def __init__(self, capacity):
        self.cache = OrderedDict()
        self.capacity = capacity
    def get(self, key):
        if key in self.cache:
            self.cache.move_to_end(key)
            return self.cache[key]
        return -1
    def put(self, key, value):
        self.cache[key] = value
        self.cache.move_to_end(key)
        if len(self.cache) > self.capacity:
            self.cache.popitem(last=False)
c = LRUCache(2)
c.put(1,1)
c.put(2,2)
c.get(1)
c.put(3,3)
result = c.get(2)",21,14.0,0,,-1,name 'OrderedDict' is not defined,0.1409999968018382,gpt-4o
84,Determine the majority element in a list (appears more than n/2 times).,Medium,"def majority_element(nums):
    count = 0
    candidate = None
    for num in nums:
        if count == 0:
            candidate = num
        count += (1 if num == candidate else -1)
    return candidate
result = majority_element([3, 3, 4, 2, 3, 3, 3])",9,3.0,1,"[3, 3, 4, 2, 3, 3, 3]",3,3,0.0582910142838954,gpt-4o
85,Write a function that checks if a number is a perfect square.,Medium,"def is_perfect_square(n):
    return int(n ** 0.5) ** 2 == n
result = is_perfect_square(49)",3,3.0,0,49,True,True,0.0249170116148889,gpt-4o
86,Implement a function to convert Roman numerals to integers.,Medium,"def roman_to_int(s):
    roman = {'I': 1, 'V': 5, 'X': 10, 'L': 50, 'C': 100, 'D': 500, 'M': 1000}
    total = 0
    prev = 0
    for c in reversed(s):
        if roman[c] < prev:
            total -= roman[c]
        else:
            total += roman[c]
        prev = roman[c]
    return total
result = roman_to_int('IX')",12,3.0,1,IX,9,9,0.1779580197762698,gpt-4o
87,Create a function to serialize and deserialize a dictionary.,Medium,"import json
def serialize_dict(d):
    return json.dumps(d)
def deserialize_dict(s):
    return json.loads(s)
data = {'a':1, 'b':2}
json_str = serialize_dict(data)
result = deserialize_dict(json_str)",8,6.0,0,"{'a':1, 'b':2}","{'a': 1, 'b': 2}",name 'json' is not defined,0.1353340048808604,gpt-4o
88,Write a function to generate the first n rows of the Floyd’s triangle.,Medium,"def floyds_triangle(n):
    num = 1
    result = []
    for i in range(1, n+1):
        row = []
        for j in range(i):
            row.append(num)
            num += 1
        result.append(row)
    return result
result = floyds_triangle(4)",11,6.0,2,4,"[[1], [2, 3], [4, 5, 6], [7, 8, 9, 10]]","[[1], [2, 3], [4, 5, 6], [7, 8, 9, 10]]",0.0936250144150108,gpt-4o
89,Check if a list is a rotated version of another list.,Medium,"def is_rotation(a, b):
    return len(a) == len(b) and b in a + a
result = is_rotation('abcde', 'deabc')",3,4.0,0,"('abcde', 'deabc')",True,True,0.0889580114744603,gpt-4o
90,Create a function that returns the number of trailing zeros in a factorial.,Medium,"def trailing_zeros(n):
    count = 0
    i = 5
    while n // i:
        count += n // i
        i *= 5
    return count
result = trailing_zeros(100)",8,2.0,1,100,24,24,0.065917003666982,gpt-4o
91,Write a function that finds the longest palindromic substring.,Medium,"def longest_palindrome(s):
    longest = ''
    for i in range(len(s)):
        for j in range(i, len(s)):
            substr = s[i:j+1]
            if substr == substr[::-1] and len(substr) > len(longest):
                longest = substr
    return longest
result = longest_palindrome('babad')",9,8.0,2,babad,bab,bab,0.0926250068005174,gpt-4o
92,Create a class that implements a simple counter with increment and reset methods.,Medium,"class Counter:
    def __init__(self):
        self.count = 0
    def increment(self):
        self.count += 1
    def reset(self):
        self.count = 0
c = Counter()
c.increment()
c.increment()
result = c.count",11,6.0,0,,2,2,0.0831249926704913,gpt-4o
93,Convert a string to an integer (implement `atoi`).,Medium,"def atoi(s):
    s = s.strip()
    if not s: return 0
    sign = -1 if s[0] == '-' else 1
    if s[0] in '+-': s = s[1:]
    num = 0
    for c in s:
        if c.isdigit():
            num = num * 10 + int(c)
        else:
            break
    return sign * num
result = atoi('   -42')",13,5.0,1,   -42,-42,-42,0.0815840030554682,gpt-4o
94,Write a program to group anagrams from a list of words.,Medium,"from collections import defaultdict
def group_anagrams(words):
    groups = defaultdict(list)
    for word in words:
        groups[''.join(sorted(word))].append(word)
    return list(groups.values())
result = group_anagrams(['bat', 'tab', 'tap', 'pat'])",7,8.0,1,"['bat', 'tab', 'tap', 'pat']","[['bat', 'tab'], ['tap', 'pat']]",name 'defaultdict' is not defined,0.0789160258136689,gpt-4o
95,Find the kth smallest element in a list using a heap.,Medium,"import heapq
def kth_smallest(lst, k):
    heapq.heapify(lst)
    for _ in range(k-1):
        heapq.heappop(lst)
    return heapq.heappop(lst)
result = kth_smallest([7, 10, 4, 3, 20, 15], 3)",7,6.0,1,"([7, 10, 4, 3, 20, 15], 3)",7,name 'heapq' is not defined,0.0645419931970536,gpt-4o
96,Implement a debounce decorator for a function.,Medium,"import time
def debounce(func):
    last_called = [0]
    def wrapper(*args, **kwargs):
        now = time.time()
        if now - last_called[0] > 0.5:
            last_called[0] = now
            return func(*args, **kwargs)
    return wrapper
@debounce
def test(): return 'called'
result = test()",12,6.0,0,,called,name 'time' is not defined,0.0852079829201102,gpt-4o
