code_id,code_snippet,code_length,num_functions,num_classes,num_variables,num_comments,comment_density,num_imports,use_of_recursion,use_of_lambda,num_loops,complexity_score,execution_time,ai_generated
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,6.3,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.72,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.13,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.18,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.48,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.4,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,4.27,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,6.6,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,6.51,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,3.07,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,8.31,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.6,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,7.57,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,5.26,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.43,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,7.58,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.41,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.02,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.71,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,8.02,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,2.76,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.72,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.21,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.4,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.08,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.93,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,6.04,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.69,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.81,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.67,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,7.61,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,4.68,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.31,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.91,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.71,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,4.86,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.0,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,0.31,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.76,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,7.61,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.37,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,0.76,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,6.74,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,5.58,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.0,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,2.14,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,9.82,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,8.81,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.14,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.6,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,0.74,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.43,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.91,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.69,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.85,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.15,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,0.8,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.74,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,4.07,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,3.66,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.15,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,9.47,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.0,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,2.2,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.57,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,6.9,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.65,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.42,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.07,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.95,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.4,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,11.3,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,7.33,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,7.04,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.13,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,7.95,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,7.11,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.6,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,3.64,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,9.3,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.81,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.97,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.53,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.97,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.72,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,10.21,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,5.61,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,8.99,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,3.46,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,4.91,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.22,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,2.61,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,10.42,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.27,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,8.23,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,4.45,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,5.66,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.9,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.69,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,0.65,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.15,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,11.9,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.73,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,2.19,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.19,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,7.62,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.98,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,5.86,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,2.63,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.4,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.35,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.79,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.92,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,6.13,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.52,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,3.86,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.41,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,2.11,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.15,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.49,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.45,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,0.98,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,1.33,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,8.26,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,10.19,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.62,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.96,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.41,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,0.68,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.64,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.12,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,7.1,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,2.03,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,2.03,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.43,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,3.94,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,1.22,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,2.09,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.94,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,5.89,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,11.82,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.1,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,7.95,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,11.18,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,4.78,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,1.94,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,2.28,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,2.34,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.39,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,1.76,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,2.24,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,2.31,1
edce6fd4,def factorial(n): return 1 if n == 0 else n * factorial(n - 1),62,1,0,0,0,0.0,0,1,0,0,3,2.86,1
a6a08557,"def fib(n): a, b = 0, 1
 for _ in range(n): a, b = b, a + b
 return a",69,1,0,2,0,0.0,0,0,0,1,2,1.43,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,3.6,1
04bd1e86,"import random
def random_numbers(n): return [random.randint(1, 100) for _ in range(n)]",86,1,0,0,0,0.0,1,0,0,1,2,1.75,1
03020544,"x = lambda a, b: a + b
print(x(3, 4))",37,0,0,1,0,0.0,0,0,1,0,0,0.8,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,1.22,1
5344eebc,"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())",62,0,0,1,0,0.0,1,0,0,0,0,2.82,1
